,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedent_len
3962,frozenset({'902457'}),"frozenset({'902449', '902456', '902454'})",0.0143,0.0032,0.0014,0.0956,29.7508,0.0013,1.1021,1
3963,frozenset({'902449'}),"frozenset({'902457', '902456', '902454'})",0.0405,0.0018,0.0014,0.0338,18.7614,0.0013,1.0331,1
3964,frozenset({'902456'}),"frozenset({'902457', '902449', '902454'})",0.018,0.0022,0.0014,0.0759,33.7645,0.0013,1.0797,1
3965,frozenset({'902454'}),"frozenset({'902457', '902449', '902456'})",0.0168,0.0025,0.0014,0.0817,32.5882,0.0013,1.0862,1
3966,"frozenset({'902457', '902456', '902454'})",frozenset({'902450'}),0.0018,0.0455,0.0012,0.664,14.6002,0.0011,2.8408,3
3967,"frozenset({'902457', '902456', '902450'})",frozenset({'902454'}),0.0022,0.0168,0.0012,0.5355,31.9619,0.0012,2.1167,3
3968,"frozenset({'902457', '902454', '902450'})",frozenset({'902456'}),0.0021,0.018,0.0012,0.5764,31.9578,0.0012,2.3181,3
3969,"frozenset({'902456', '902454', '902450'})",frozenset({'902457'}),0.0031,0.0143,0.0012,0.3843,26.8351,0.0012,1.6008,3
3970,"frozenset({'902457', '902456'})","frozenset({'902454', '902450'})",0.0041,0.008,0.0012,0.2882,36.242,0.0012,1.3937,2
3971,"frozenset({'902457', '902454'})","frozenset({'902456', '902450'})",0.0035,0.0078,0.0012,0.343,43.9268,0.0012,1.5101,2
3972,"frozenset({'902457', '902450'})","frozenset({'902456', '902454'})",0.0052,0.0053,0.0012,0.228,43.2475,0.0012,1.2885,2
3973,"frozenset({'902456', '902454'})","frozenset({'902457', '902450'})",0.0053,0.0052,0.0012,0.2268,43.2475,0.0012,1.2865,2
3974,"frozenset({'902456', '902450'})","frozenset({'902457', '902454'})",0.0078,0.0035,0.0012,0.1531,43.9268,0.0012,1.1767,2
3975,"frozenset({'902454', '902450'})","frozenset({'902457', '902456'})",0.008,0.0041,0.0012,0.1504,36.242,0.0012,1.1721,2
3976,frozenset({'902457'}),"frozenset({'902456', '902454', '902450'})",0.0143,0.0031,0.0012,0.0835,26.8351,0.0012,1.0877,1
3977,frozenset({'902456'}),"frozenset({'902457', '902454', '902450'})",0.018,0.0021,0.0012,0.0663,31.9578,0.0012,1.0688,1
3978,frozenset({'902454'}),"frozenset({'902457', '902456', '902450'})",0.0168,0.0022,0.0012,0.0714,31.9619,0.0012,1.0744,1
3979,frozenset({'902450'}),"frozenset({'902457', '902456', '902454'})",0.0455,0.0018,0.0012,0.0263,14.6002,0.0011,1.0252,1
3980,"frozenset({'902457', '902405'})",frozenset({'902450'}),0.003,0.0455,0.0014,0.4634,10.1897,0.0012,1.7789,2
3981,"frozenset({'902457', '902450'})",frozenset({'902405'}),0.0052,0.0611,0.0014,0.261,4.2729,0.001,1.2705,2
3982,"frozenset({'902405', '902450'})",frozenset({'902457'}),0.0118,0.0143,0.0014,0.1157,8.0809,0.0012,1.1147,2
3983,frozenset({'902457'}),"frozenset({'902405', '902450'})",0.0143,0.0118,0.0014,0.0956,8.0809,0.0012,1.0926,1
3984,frozenset({'902405'}),"frozenset({'902457', '902450'})",0.0611,0.0052,0.0014,0.0224,4.2729,0.001,1.0176,1
3985,frozenset({'902450'}),"frozenset({'902457', '902405'})",0.0455,0.003,0.0014,0.0301,10.1897,0.0012,1.028,1
3986,"frozenset({'902457', '902449'})",frozenset({'902405'}),0.0057,0.0611,0.0013,0.2312,3.7845,0.001,1.2212,2
3987,"frozenset({'902457', '902405'})",frozenset({'902449'}),0.003,0.0405,0.0013,0.4488,11.0786,0.0012,1.7407,2
3988,"frozenset({'902449', '902405'})",frozenset({'902457'}),0.0094,0.0143,0.0013,0.1413,9.8693,0.0012,1.1479,2
3989,frozenset({'902457'}),"frozenset({'902449', '902405'})",0.0143,0.0094,0.0013,0.0926,9.8693,0.0012,1.0917,1
3990,frozenset({'902449'}),"frozenset({'902457', '902405'})",0.0405,0.003,0.0013,0.0327,11.0786,0.0012,1.0308,1
3991,frozenset({'902405'}),"frozenset({'902457', '902449'})",0.0611,0.0057,0.0013,0.0217,3.7845,0.001,1.0163,1
3992,"frozenset({'902457', '902405'})",frozenset({'902456'}),0.003,0.018,0.0011,0.361,20.0143,0.001,1.5367,2
3993,"frozenset({'902457', '902456'})",frozenset({'902405'}),0.0041,0.0611,0.0011,0.2569,4.2067,0.0008,1.2636,2
3994,"frozenset({'902456', '902405'})",frozenset({'902457'}),0.0045,0.0143,0.0011,0.2357,16.4582,0.001,1.2896,2
3995,frozenset({'902457'}),"frozenset({'902456', '902405'})",0.0143,0.0045,0.0011,0.0744,16.4582,0.001,1.0755,1
3996,frozenset({'902405'}),"frozenset({'902457', '902456'})",0.0611,0.0041,0.0011,0.0175,4.2067,0.0008,1.0135,1
3997,frozenset({'902456'}),"frozenset({'902457', '902405'})",0.018,0.003,0.0011,0.0591,20.0143,0.001,1.0597,1
3998,"frozenset({'902457', '902453'})",frozenset({'902405'}),0.0051,0.0611,0.0011,0.2096,3.4321,0.0008,1.188,2
3999,"frozenset({'902457', '902405'})",frozenset({'902453'}),0.003,0.025,0.0011,0.361,14.4592,0.001,1.5258,2
4000,"frozenset({'902453', '902405'})",frozenset({'902457'}),0.0057,0.0143,0.0011,0.1859,12.9846,0.001,1.2108,2
4001,frozenset({'902457'}),"frozenset({'902453', '902405'})",0.0143,0.0057,0.0011,0.0744,12.9846,0.001,1.0742,1
4002,frozenset({'902453'}),"frozenset({'902457', '902405'})",0.025,0.003,0.0011,0.0427,14.4592,0.001,1.0415,1
4003,frozenset({'902405'}),"frozenset({'902457', '902453'})",0.0611,0.0051,0.0011,0.0175,3.4321,0.0008,1.0126,1
4004,"frozenset({'902457', '902449'})",frozenset({'902451'}),0.0057,0.0168,0.002,0.3492,20.7388,0.0019,1.5108,2
4005,"frozenset({'902457', '902451'})",frozenset({'902449'}),0.003,0.0405,0.002,0.6651,16.418,0.0019,2.8648,2
4006,"frozenset({'902449', '902451'})",frozenset({'902457'}),0.0083,0.0143,0.002,0.2413,16.8528,0.0019,1.2992,2
4007,frozenset({'902457'}),"frozenset({'902449', '902451'})",0.0143,0.0083,0.002,0.1398,16.8528,0.0019,1.1529,1
4008,frozenset({'902449'}),"frozenset({'902457', '902451'})",0.0405,0.003,0.002,0.0494,16.418,0.0019,1.0488,1
4009,frozenset({'902451'}),"frozenset({'902457', '902449'})",0.0168,0.0057,0.002,0.1189,20.7388,0.0019,1.1284,1
4010,"frozenset({'902457', '902451'})",frozenset({'902456'}),0.003,0.018,0.0014,0.4593,25.4675,0.0013,1.8162,2
4011,"frozenset({'902457', '902456'})",frozenset({'902451'}),0.0041,0.0168,0.0014,0.3333,19.7938,0.0013,1.4747,2
4012,"frozenset({'902451', '902456'})",frozenset({'902457'}),0.0043,0.0143,0.0014,0.3221,22.4975,0.0013,1.4541,2
4013,frozenset({'902457'}),"frozenset({'902451', '902456'})",0.0143,0.0043,0.0014,0.0966,22.4975,0.0013,1.1022,1
4014,frozenset({'902451'}),"frozenset({'902457', '902456'})",0.0168,0.0041,0.0014,0.0821,19.7938,0.0013,1.0849,1
4015,frozenset({'902456'}),"frozenset({'902457', '902451'})",0.018,0.003,0.0014,0.0767,25.4675,0.0013,1.0798,1
4016,"frozenset({'902457', '902451'})",frozenset({'902450'}),0.003,0.0455,0.0013,0.445,9.7843,0.0012,1.7198,2
4017,"frozenset({'902457', '902450'})",frozenset({'902451'}),0.0052,0.0168,0.0013,0.2555,15.1717,0.0013,1.3206,2
4018,"frozenset({'902451', '902450'})",frozenset({'902457'}),0.0057,0.0143,0.0013,0.2366,16.5261,0.0013,1.2912,2
4019,frozenset({'902457'}),"frozenset({'902451', '902450'})",0.0143,0.0057,0.0013,0.0936,16.5261,0.0013,1.097,1
4020,frozenset({'902451'}),"frozenset({'902457', '902450'})",0.0168,0.0052,0.0013,0.0796,15.1717,0.0013,1.0807,1
4021,frozenset({'902450'}),"frozenset({'902457', '902451'})",0.0455,0.003,0.0013,0.0295,9.7843,0.0012,1.0273,1
4022,"frozenset({'902457', '902451'})",frozenset({'902442'}),0.003,0.0281,0.0013,0.4354,15.4839,0.0012,1.7214,2
4023,"frozenset({'902457', '902442'})",frozenset({'902451'}),0.0039,0.0168,0.0013,0.337,20.0138,0.0012,1.483,2
4024,"frozenset({'902451', '902442'})",frozenset({'902457'}),0.0045,0.0143,0.0013,0.2945,20.5666,0.0012,1.3971,2
4025,frozenset({'902457'}),"frozenset({'902451', '902442'})",0.0143,0.0045,0.0013,0.0915,20.5666,0.0012,1.0959,1
4026,frozenset({'902451'}),"frozenset({'902457', '902442'})",0.0168,0.0039,0.0013,0.0778,20.0138,0.0012,1.0802,1
4027,frozenset({'902442'}),"frozenset({'902457', '902451'})",0.0281,0.003,0.0013,0.0466,15.4839,0.0012,1.0457,1
4028,"frozenset({'902457', '902453'})",frozenset({'902451'}),0.0051,0.0168,0.0019,0.3711,22.0368,0.0018,1.5633,2
4029,"frozenset({'902457', '902451'})",frozenset({'902453'}),0.003,0.025,0.0019,0.6268,25.1069,0.0018,2.6126,2
4030,"frozenset({'902451', '902453'})",frozenset({'902457'}),0.0069,0.0143,0.0019,0.2752,19.2196,0.0018,1.36,2
4031,frozenset({'902457'}),"frozenset({'902451', '902453'})",0.0143,0.0069,0.0019,0.1318,19.2196,0.0018,1.1439,1
4032,frozenset({'902453'}),"frozenset({'902457', '902451'})",0.025,0.003,0.0019,0.0756,25.1069,0.0018,1.0785,1
4033,frozenset({'902451'}),"frozenset({'902457', '902453'})",0.0168,0.0051,0.0019,0.1121,22.0368,0.0018,1.1205,1
4034,"frozenset({'902457', '902451'})",frozenset({'902454'}),0.003,0.0168,0.0012,0.4019,23.9894,0.0012,1.644,2
4035,"frozenset({'902457', '902454'})",frozenset({'902451'}),0.0035,0.0168,0.0012,0.3471,20.6118,0.0012,1.5059,2
4036,"frozenset({'902451', '902454'})",frozenset({'902457'}),0.0033,0.0143,0.0012,0.3684,25.7291,0.0012,1.5607,2
4037,frozenset({'902457'}),"frozenset({'902451', '902454'})",0.0143,0.0033,0.0012,0.0845,25.7291,0.0012,1.0887,1
4038,frozenset({'902451'}),"frozenset({'902457', '902454'})",0.0168,0.0035,0.0012,0.0719,20.6118,0.0012,1.0737,1
4039,frozenset({'902454'}),"frozenset({'902457', '902451'})",0.0168,0.003,0.0012,0.0722,23.9894,0.0012,1.0746,1
4040,"frozenset({'902457', '902449', '902451'})",frozenset({'902456'}),0.002,0.018,0.0011,0.5396,29.9163,0.001,2.1327,3
4041,"frozenset({'902457', '902449', '902456'})",frozenset({'902451'}),0.0025,0.0168,0.0011,0.431,25.5955,0.001,1.728,3
4042,"frozenset({'902457', '902451', '902456'})",frozenset({'902449'}),0.0014,0.0405,0.0011,0.7812,19.2859,0.001,4.3862,3
4043,"frozenset({'902449', '902451', '902456'})",frozenset({'902457'}),0.003,0.0143,0.0011,0.3659,25.5498,0.001,1.5543,3
4044,"frozenset({'902457', '902449'})","frozenset({'902451', '902456'})",0.0057,0.0043,0.0011,0.1884,43.8963,0.0011,1.2269,2
4045,"frozenset({'902457', '902451'})","frozenset({'902449', '902456'})",0.003,0.0086,0.0011,0.3589,41.796,0.0011,1.5463,2
4046,"frozenset({'902457', '902456'})","frozenset({'902449', '902451'})",0.0041,0.0083,0.0011,0.2604,31.3843,0.001,1.3409,2
4047,"frozenset({'902449', '902451'})","frozenset({'902457', '902456'})",0.0083,0.0041,0.0011,0.1302,31.3843,0.001,1.1449,2
4048,"frozenset({'902449', '902456'})","frozenset({'902457', '902451'})",0.0086,0.003,0.0011,0.1258,41.796,0.0011,1.1405,2
4049,"frozenset({'902451', '902456'})","frozenset({'902457', '902449'})",0.0043,0.0057,0.0011,0.2517,43.8963,0.0011,1.3287,2
4050,frozenset({'902457'}),"frozenset({'902449', '902451', '902456'})",0.0143,0.003,0.0011,0.0755,25.5498,0.001,1.0784,1
4051,frozenset({'902449'}),"frozenset({'902457', '902451', '902456'})",0.0405,0.0014,0.0011,0.0267,19.2859,0.001,1.026,1
4052,frozenset({'902451'}),"frozenset({'902457', '902449', '902456'})",0.0168,0.0025,0.0011,0.0642,25.5955,0.001,1.0659,1
4053,frozenset({'902456'}),"frozenset({'902457', '902449', '902451'})",0.018,0.002,0.0011,0.0599,29.9163,0.001,1.0616,1
4054,"frozenset({'902457', '902449', '902451'})",frozenset({'902450'}),0.002,0.0455,0.0012,0.5827,12.8133,0.0011,2.2876,3
4055,"frozenset({'902457', '902449', '902450'})",frozenset({'902451'}),0.0032,0.0168,0.0012,0.36,21.3773,0.0011,1.5362,3
4056,"frozenset({'902457', '902451', '902450'})",frozenset({'902449'}),0.0013,0.0405,0.0012,0.871,21.5007,0.0011,7.4361,3
4057,"frozenset({'902449', '902451', '902450'})",frozenset({'902457'}),0.0042,0.0143,0.0012,0.2765,19.3062,0.0011,1.3623,3
4058,"frozenset({'902457', '902449'})","frozenset({'902451', '902450'})",0.0057,0.0057,0.0012,0.2035,35.948,0.0011,1.2484,2
4059,"frozenset({'902457', '902451'})","frozenset({'902449', '902450'})",0.003,0.0192,0.0012,0.3876,20.2128,0.0011,1.6015,2
4060,"frozenset({'902457', '902450'})","frozenset({'902449', '902451'})",0.0052,0.0083,0.0012,0.2225,26.818,0.0011,1.2755,2
4061,"frozenset({'902449', '902451'})","frozenset({'902457', '902450'})",0.0083,0.0052,0.0012,0.1406,26.818,0.0011,1.1575,2
4062,"frozenset({'902449', '902450'})","frozenset({'902457', '902451'})",0.0192,0.003,0.0012,0.0609,20.2128,0.0011,1.0616,2
4063,"frozenset({'902451', '902450'})","frozenset({'902457', '902449'})",0.0057,0.0057,0.0012,0.2061,35.948,0.0011,1.2524,2
4064,frozenset({'902457'}),"frozenset({'902449', '902451', '902450'})",0.0143,0.0042,0.0012,0.0815,19.3062,0.0011,1.0841,1
4065,frozenset({'902449'}),"frozenset({'902457', '902451', '902450'})",0.0405,0.0013,0.0012,0.0288,21.5007,0.0011,1.0283,1
4066,frozenset({'902451'}),"frozenset({'902457', '902449', '902450'})",0.0168,0.0032,0.0012,0.0693,21.3773,0.0011,1.071,1
4067,frozenset({'902450'}),"frozenset({'902457', '902449', '902451'})",0.0455,0.002,0.0012,0.0257,12.8133,0.0011,1.0243,1
4068,"frozenset({'902457', '902449', '902451'})",frozenset({'902442'}),0.002,0.0281,0.001,0.5108,18.1648,0.001,1.9866,3
4069,"frozenset({'902457', '902449', '902442'})",frozenset({'902451'}),0.0024,0.0168,0.001,0.4201,24.9473,0.001,1.6954,3
4070,"frozenset({'902457', '902451', '902442'})",frozenset({'902449'}),0.0013,0.0405,0.001,0.7802,19.2605,0.001,4.3657,3
4071,"frozenset({'902449', '902451', '902442'})",frozenset({'902457'}),0.003,0.0143,0.001,0.3397,23.7242,0.001,1.4928,3
4072,"frozenset({'902457', '902449'})","frozenset({'902451', '902442'})",0.0057,0.0045,0.001,0.1784,40.0758,0.001,1.2117,2
4073,"frozenset({'902457', '902451'})","frozenset({'902449', '902442'})",0.003,0.0103,0.001,0.3397,32.9355,0.001,1.4989,2
4074,"frozenset({'902457', '902442'})","frozenset({'902449', '902451'})",0.0039,0.0083,0.001,0.263,31.6911,0.001,1.3455,2
4075,"frozenset({'902449', '902451'})","frozenset({'902457', '902442'})",0.0083,0.0039,0.001,0.1233,31.6911,0.001,1.1362,2
4076,"frozenset({'902449', '902442'})","frozenset({'902457', '902451'})",0.0103,0.003,0.001,0.0992,32.9355,0.001,1.1067,2
4077,"frozenset({'902451', '902442'})","frozenset({'902457', '902449'})",0.0045,0.0057,0.001,0.2298,40.0758,0.001,1.2909,2
4078,frozenset({'902457'}),"frozenset({'902449', '902451', '902442'})",0.0143,0.003,0.001,0.0714,23.7242,0.001,1.0737,1
4079,frozenset({'902449'}),"frozenset({'902457', '902451', '902442'})",0.0405,0.0013,0.001,0.0252,19.2605,0.001,1.0246,1
4080,frozenset({'902451'}),"frozenset({'902457', '902449', '902442'})",0.0168,0.0024,0.001,0.0607,24.9473,0.001,1.0621,1
4081,frozenset({'902442'}),"frozenset({'902457', '902449', '902451'})",0.0281,0.002,0.001,0.0364,18.1648,0.001,1.0357,1
4082,"frozenset({'902457', '902453', '902449'})",frozenset({'902451'}),0.0031,0.0168,0.0014,0.4554,27.0423,0.0013,1.8053,3
4083,"frozenset({'902457', '902453', '902451'})",frozenset({'902449'}),0.0019,0.0405,0.0014,0.7405,18.2789,0.0013,3.6969,3
4084,"frozenset({'902457', '902449', '902451'})",frozenset({'902453'}),0.002,0.025,0.0014,0.6978,27.9527,0.0013,3.2269,3
4085,"frozenset({'902449', '902453', '902451'})",frozenset({'902457'}),0.0045,0.0143,0.0014,0.3109,21.7118,0.0013,1.4304,3
4086,"frozenset({'902457', '902453'})","frozenset({'902449', '902451'})",0.0051,0.0083,0.0014,0.2748,33.1162,0.0014,1.3675,2
4087,"frozenset({'902457', '902449'})","frozenset({'902451', '902453'})",0.0057,0.0069,0.0014,0.2437,35.5425,0.0014,1.3132,2
4088,"frozenset({'902457', '902451'})","frozenset({'902449', '902453'})",0.003,0.0114,0.0014,0.4641,40.8333,0.0014,1.8449,2
4089,"frozenset({'902449', '902453'})","frozenset({'902457', '902451'})",0.0114,0.003,0.0014,0.1229,40.8333,0.0014,1.1367,2
4090,"frozenset({'902451', '902453'})","frozenset({'902457', '902449'})",0.0069,0.0057,0.0014,0.2038,35.5425,0.0014,1.2487,2
4091,"frozenset({'902449', '902451'})","frozenset({'902457', '902453'})",0.0083,0.0051,0.0014,0.1684,33.1162,0.0014,1.1964,2
4092,frozenset({'902457'}),"frozenset({'902449', '902453', '902451'})",0.0143,0.0045,0.0014,0.0976,21.7118,0.0013,1.1032,1
4093,frozenset({'902453'}),"frozenset({'902457', '902449', '902451'})",0.025,0.002,0.0014,0.056,27.9527,0.0013,1.0572,1
4094,frozenset({'902449'}),"frozenset({'902457', '902453', '902451'})",0.0405,0.0019,0.0014,0.0345,18.2789,0.0013,1.0338,1
4095,frozenset({'902451'}),"frozenset({'902457', '902453', '902449'})",0.0168,0.0031,0.0014,0.083,27.0423,0.0013,1.0871,1
4096,"frozenset({'902457', '902459'})",frozenset({'902450'}),0.0024,0.0455,0.0015,0.6071,13.35,0.0014,2.4297,2
4097,"frozenset({'902457', '902450'})",frozenset({'902459'}),0.0052,0.0203,0.0015,0.2802,13.786,0.0014,1.3611,2
4098,"frozenset({'902450', '902459'})",frozenset({'902457'}),0.0091,0.0143,0.0015,0.1611,11.2532,0.0013,1.175,2
4099,frozenset({'902457'}),"frozenset({'902450', '902459'})",0.0143,0.0091,0.0015,0.1026,11.2532,0.0013,1.1042,1
4100,frozenset({'902459'}),"frozenset({'902457', '902450'})",0.0203,0.0052,0.0015,0.0723,13.786,0.0014,1.0723,1
4101,frozenset({'902450'}),"frozenset({'902457', '902459'})",0.0455,0.0024,0.0015,0.0323,13.35,0.0014,1.0309,1
4102,"frozenset({'902457', '902449'})",frozenset({'902459'}),0.0057,0.0203,0.0013,0.2312,11.3722,0.0012,1.2742,2
4103,"frozenset({'902457', '902459'})",frozenset({'902449'}),0.0024,0.0405,0.0013,0.5476,13.5185,0.0012,2.121,2
4104,"frozenset({'902449', '902459'})",frozenset({'902457'}),0.0064,0.0143,0.0013,0.2086,14.569,0.0012,1.2455,2
4105,frozenset({'902457'}),"frozenset({'902449', '902459'})",0.0143,0.0064,0.0013,0.0926,14.569,0.0012,1.095,1
4106,frozenset({'902449'}),"frozenset({'902457', '902459'})",0.0405,0.0024,0.0013,0.0327,13.5185,0.0012,1.0313,1
4107,frozenset({'902459'}),"frozenset({'902457', '902449'})",0.0203,0.0057,0.0013,0.0652,11.3722,0.0012,1.0636,1
4108,"frozenset({'902457', '902453'})",frozenset({'902459'}),0.0051,0.0203,0.0012,0.2436,11.9857,0.0011,1.2952,2
4109,"frozenset({'902457', '902459'})",frozenset({'902453'}),0.0024,0.025,0.0012,0.5119,20.5048,0.0012,1.9976,2
4110,"frozenset({'902453', '902459'})",frozenset({'902457'}),0.0036,0.0143,0.0012,0.3468,24.2173,0.0012,1.5089,2
4111,frozenset({'902457'}),"frozenset({'902453', '902459'})",0.0143,0.0036,0.0012,0.0865,24.2173,0.0012,1.0908,1
4112,frozenset({'902453'}),"frozenset({'902457', '902459'})",0.025,0.0024,0.0012,0.0496,20.5048,0.0012,1.0497,1
4113,frozenset({'902459'}),"frozenset({'902457', '902453'})",0.0203,0.0051,0.0012,0.0609,11.9857,0.0011,1.0595,1
4114,"frozenset({'902457', '902442'})",frozenset({'902459'}),0.0039,0.0203,0.0011,0.2889,14.2125,0.001,1.3777,2
4115,"frozenset({'902457', '902459'})",frozenset({'902442'}),0.0024,0.0281,0.0011,0.4643,16.5109,0.0011,1.8142,2
4116,"frozenset({'902442', '902459'})",frozenset({'902457'}),0.0046,0.0143,0.0011,0.2445,17.0759,0.0011,1.3047,2
4117,frozenset({'902457'}),"frozenset({'902442', '902459'})",0.0143,0.0046,0.0011,0.0785,17.0759,0.0011,1.0802,1
4118,frozenset({'902442'}),"frozenset({'902457', '902459'})",0.0281,0.0024,0.0011,0.04,16.5109,0.0011,1.0391,1
4119,frozenset({'902459'}),"frozenset({'902457', '902442'})",0.0203,0.0039,0.0011,0.0553,14.2125,0.001,1.0544,1
4120,"frozenset({'902457', '902456'})",frozenset({'902459'}),0.0041,0.0203,0.001,0.2431,11.9576,0.0009,1.2942,2
4121,"frozenset({'902457', '902459'})",frozenset({'902456'}),0.0024,0.018,0.001,0.4167,23.102,0.001,1.6834,2
4122,"frozenset({'902456', '902459'})",frozenset({'902457'}),0.0033,0.0143,0.001,0.3057,21.3473,0.001,1.4196,2
4123,frozenset({'902457'}),"frozenset({'902456', '902459'})",0.0143,0.0033,0.001,0.0704,21.3473,0.001,1.0722,1
4124,frozenset({'902456'}),"frozenset({'902457', '902459'})",0.018,0.0024,0.001,0.0559,23.102,0.001,1.0567,1
4125,frozenset({'902459'}),"frozenset({'902457', '902456'})",0.0203,0.0041,0.001,0.0496,11.9576,0.0009,1.0478,1
4126,"frozenset({'902457', '902449', '902459'})",frozenset({'902450'}),0.0013,0.0455,0.0011,0.7935,17.4472,0.001,4.6219,3
4127,"frozenset({'902457', '902449', '902450'})",frozenset({'902459'}),0.0032,0.0203,0.0011,0.3244,15.9617,0.001,1.4502,3
4128,"frozenset({'902457', '902450', '902459'})",frozenset({'902449'}),0.0015,0.0405,0.0011,0.7157,17.6674,0.001,3.3748,3
4129,"frozenset({'902449', '902450', '902459'})",frozenset({'902457'}),0.0046,0.0143,0.0011,0.2281,15.9313,0.001,1.277,3
4130,"frozenset({'902457', '902449'})","frozenset({'902450', '902459'})",0.0057,0.0091,0.0011,0.1834,20.1142,0.001,1.2134,2
4131,"frozenset({'902457', '902459'})","frozenset({'902449', '902450'})",0.0024,0.0192,0.0011,0.4345,22.6622,0.001,1.7345,2
4132,"frozenset({'902457', '902450'})","frozenset({'902449', '902459'})",0.0052,0.0064,0.0011,0.2005,31.5681,0.001,1.2429,2
4133,"frozenset({'902449', '902459'})","frozenset({'902457', '902450'})",0.0064,0.0052,0.0011,0.1655,31.5681,0.001,1.1921,2
4134,"frozenset({'902449', '902450'})","frozenset({'902457', '902459'})",0.0192,0.0024,0.0011,0.0548,22.6622,0.001,1.0555,2
4135,"frozenset({'902450', '902459'})","frozenset({'902457', '902449'})",0.0091,0.0057,0.0011,0.1153,20.1142,0.001,1.1239,2
4136,frozenset({'902457'}),"frozenset({'902449', '902450', '902459'})",0.0143,0.0046,0.0011,0.0734,15.9313,0.001,1.0743,1
4137,frozenset({'902449'}),"frozenset({'902457', '902450', '902459'})",0.0405,0.0015,0.0011,0.026,17.6674,0.001,1.0251,1
4138,frozenset({'902459'}),"frozenset({'902457', '902449', '902450'})",0.0203,0.0032,0.0011,0.0517,15.9617,0.001,1.0511,1
4139,frozenset({'902450'}),"frozenset({'902457', '902449', '902459'})",0.0455,0.0013,0.0011,0.0231,17.4472,0.001,1.0223,1
4140,frozenset({'902412'}),frozenset({'902450'}),0.0098,0.0455,0.0022,0.2297,5.0518,0.0018,1.2392,1
4141,frozenset({'902450'}),frozenset({'902412'}),0.0455,0.0098,0.0022,0.0494,5.0518,0.0018,1.0417,1
4142,frozenset({'902449'}),frozenset({'902412'}),0.0405,0.0098,0.0018,0.0455,4.6536,0.0014,1.0374,1
4143,frozenset({'902412'}),frozenset({'902449'}),0.0098,0.0405,0.0018,0.1885,4.6536,0.0014,1.1824,1
4144,frozenset({'902412'}),frozenset({'902453'}),0.0098,0.025,0.0012,0.1222,4.8964,0.001,1.1108,1
4145,frozenset({'902453'}),frozenset({'902412'}),0.025,0.0098,0.0012,0.0479,4.8964,0.001,1.04,1
4146,frozenset({'902412'}),frozenset({'902442'}),0.0098,0.0281,0.0014,0.1473,5.2374,0.0012,1.1397,1
4147,frozenset({'902442'}),frozenset({'902412'}),0.0281,0.0098,0.0014,0.0512,5.2374,0.0012,1.0437,1
4148,frozenset({'902412'}),frozenset({'902454'}),0.0098,0.0168,0.0011,0.1075,6.4171,0.0009,1.1017,1
4149,frozenset({'902454'}),frozenset({'902412'}),0.0168,0.0098,0.0011,0.0628,6.4171,0.0009,1.0565,1
4150,frozenset({'902412'}),frozenset({'902405'}),0.0098,0.0611,0.0053,0.542,8.8732,0.0047,2.0499,1
4151,frozenset({'902405'}),frozenset({'902412'}),0.0611,0.0098,0.0053,0.0868,8.8732,0.0047,1.0843,1
4152,"frozenset({'902412', '902405'})",frozenset({'902450'}),0.0053,0.0455,0.0013,0.2527,5.5568,0.0011,1.2773,2
4153,"frozenset({'902412', '902450'})",frozenset({'902405'}),0.0022,0.0611,0.0013,0.5962,9.7602,0.0012,2.3249,2
4154,"frozenset({'902405', '902450'})",frozenset({'902412'}),0.0118,0.0098,0.0013,0.1133,11.5807,0.0012,1.1167,2
4155,frozenset({'902412'}),"frozenset({'902405', '902450'})",0.0098,0.0118,0.0013,0.137,11.5807,0.0012,1.145,1
4156,frozenset({'902405'}),"frozenset({'902412', '902450'})",0.0611,0.0022,0.0013,0.0219,9.7602,0.0012,1.0201,1
4157,frozenset({'902450'}),"frozenset({'902412', '902405'})",0.0455,0.0053,0.0013,0.0295,5.5568,0.0011,1.0249,1
4158,"frozenset({'902449', '902412'})",frozenset({'902450'}),0.0018,0.0455,0.0011,0.6172,13.5709,0.0011,2.4934,2
4159,"frozenset({'902449', '902450'})",frozenset({'902412'}),0.0192,0.0098,0.0011,0.0594,6.068,0.001,1.0527,2
4160,"frozenset({'902412', '902450'})",frozenset({'902449'}),0.0022,0.0405,0.0011,0.5064,12.5012,0.001,1.9439,2
4161,frozenset({'902449'}),"frozenset({'902412', '902450'})",0.0405,0.0022,0.0011,0.0281,12.5012,0.001,1.0266,1
4162,frozenset({'902412'}),"frozenset({'902449', '902450'})",0.0098,0.0192,0.0011,0.1163,6.068,0.001,1.11,1
4163,frozenset({'902450'}),"frozenset({'902449', '902412'})",0.0455,0.0018,0.0011,0.025,13.5709,0.0011,1.0238,1
4164,"frozenset({'902449', '902405'})",frozenset({'902412'}),0.0094,0.0098,0.0012,0.1306,13.3485,0.0011,1.1389,2
4165,"frozenset({'902449', '902412'})",frozenset({'902405'}),0.0018,0.0611,0.0012,0.6641,10.872,0.0011,2.7949,2
4166,"frozenset({'902412', '902405'})",frozenset({'902449'}),0.0053,0.0405,0.0012,0.231,5.7019,0.001,1.2477,2
4167,frozenset({'902449'}),"frozenset({'902412', '902405'})",0.0405,0.0053,0.0012,0.0302,5.7019,0.001,1.0257,1
4168,frozenset({'902405'}),"frozenset({'902449', '902412'})",0.0611,0.0018,0.0012,0.02,10.872,0.0011,1.0186,1
